"Format","AiM CSV File"
"Session","Fuji GP Sh"
"Vehicle","SFJ"
"Racer","CMD"
"Championship","Fuji Practice"
"Comment",""
"Date","11/04/2025"
"Time","15:50:07"
"Sample Rate","20"
"Duration","1696.94"
"Segment","Session"
"Beacon Markers","193.611","320.961","450.167","569.437","688.127","819.303","947.652","1079.43","1202.58","1322.38","1445.26","1578.53","1696.96"
"Segment Times","3:13.611","2:07.350","2:09.206","1:59.270","1:58.690","2:11.176","2:08.349","2:11.778","2:03.153","1:59.801","2:02.877","2:13.267","1:58.430"

"Time","GPS Speed","GPS Heading","GPS Latitude","GPS Longitude","GPS Altitude","GPS Nsat","GPS PosAccuracy","GPS SpdAccuracy","GPS LatAcc","GPS InlineAcc","GPS Yaw Rate","Predictive Time","Best Run Diff","Best Today Diff","Prev Lap Diff","Ref Lap Diff","LoggerTemp","External Voltage","ADC Voffset","Lateral Grip","RPM","WT","steering","BRK","ACCEL","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","StartRec"
"s","km/h","deg","deg","deg","m"," ","m","km/h","g","g","deg/s","ms","ms","ms","ms","ms","C","V","mV"," ","rpm","C","deg","bar","mm","g","g","g","deg/s","deg/s","deg/s","%"," "

"0.000","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","0.05","0.00","-1.28","0.4","1.2","0.1","0.46","1"
"0.050","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","0.00","0.01","-1.16","0.4","1.2","0.1","0.46","1"
"0.100","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","0.05","0.07","-1.19","0.4","1.2","0.1","0.46","1"
"0.150","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","0.06","0.02","-1.22","0.4","1.2","0.1","0.46","1"
"0.200","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","0.00","-0.09","-0.96","0.4","1.2","0.1","0.46","1"
"0.250","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","-0.02","-0.16","-0.76","0.7","1.5","0.2","0.46","1"
"0.300","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","-0.04","-0.14","-0.75","0.8","1.5","0.0","0.46","1"
"0.350","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","-0.14","-0.04","-0.76","0.7","1.0","-0.2","0.46","1"
"0.400","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","-0.15","0.11","-1.00","0.3","0.3","-0.2","0.46","1"
"0.450","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.00","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2434","40.0","-25.5","-0.11","2","-0.09","0.11","-1.11","-0.2","0.5","-0.1","0.46","1"
"0.500","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.02","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2430","40.1","-25.3","-0.11","2","-0.09","0.00","-0.89","0.0","1.1","-0.1","0.46","1"
"0.550","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.05","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2418","40.2","-25.6","-0.16","2","-0.14","-0.03","-0.72","0.7","1.2","-0.3","0.46","1"
"0.600","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.08","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2408","40.1","-25.3","-0.13","2","-0.21","-0.01","-0.65","0.8","1.0","-0.4","0.46","1"
"0.650","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.11","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2402","40.1","-24.9","-0.10","2","-0.20","-0.03","-0.69","0.7","0.8","-0.3","0.46","1"
"0.700","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.13","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2397","40.0","-24.9","-0.13","3","-0.08","-0.15","-0.79","0.7","0.9","-0.2","0.46","1"
"0.750","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.16","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2395","40.1","-25.0","-0.12","3","-0.00","-0.19","-0.84","0.9","1.6","0.0","0.46","1"
"0.800","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.19","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2397","40.1","-25.3","-0.11","3","0.02","-0.18","-0.86","1.1","1.9","0.3","0.46","1"
"0.850","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.22","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2407","40.1","-25.8","-0.14","3","-0.00","-0.14","-0.86","1.2","1.7","0.1","0.46","1"
"0.900","0.0000","162.7828","35.37253268","138.92759852","644.16","0","41768.24","72.00","0.00","0.00","0.0","-12290","-12290","-12290","-12290","-12290","15.9","11.3","197.9","0","2426","40.1","-25.7","-0.11","3","-0.07","-0.11","-0.78","1.1","1.4","-0.0","0.46","1"
